"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Finolex Cables Ltd","Industrials","535313789.7","535024000","0.73","1930102","-152772","-7.33","/mutual-fund/holding-history/8582/416/"
"Laurus Labs Ltd","Healthcare","616196607.3","525835000","0.72","463986","-145000","-23.81","/mutual-fund/holding-history/8582/4984/"
"Indraprastha Gas Ltd","Utilities","513753000.75","502542000","0.69","1274031","-127011","-9.07","/mutual-fund/holding-history/8582/596/"
"Hindustan Petroleum Corp Ltd","Energy","448632662.6","506282000","0.69","2511941","-1224575","-32.77","/mutual-fund/holding-history/8582/556/"
"State Bank of India","Financial Services","417693500","486010000","0.67","2292500","-100000","-4.18","/mutual-fund/holding-history/8582/1193/"
"Gujarat State Petronet Ltd","Utilities","468603459.45","489275000","0.67","2403711","-","-","/mutual-fund/holding-history/8582/502/"
"Kalpataru Power Transmission Ltd","Industrials","399956721.9","434384000","0.6","1667181","-","-","/mutual-fund/holding-history/8582/712/"
"Amber Enterprises India Ltd Ordinary Shares","Technology","487038446.8","434145000","0.59","250444","-","-","/mutual-fund/holding-history/8582/73518/"
"Cholamandalam Financial Holdings Ltd","Financial Services","375308730.55","413887000","0.57","947869","-","-","/mutual-fund/holding-history/8582/1424/"
"City Union Bank Ltd","Financial Services","401537412.6","405139000","0.55","3001027","-","-","/mutual-fund/holding-history/8582/295/"
"MRF Ltd","Consumer Cyclical","363271286.9","366597000","0.5","6322","-","-","/mutual-fund/holding-history/8582/883/"
"PNC Infratech Ltd","Industrials","318222590.6","346511000","0.47","2042507","-","-","/mutual-fund/holding-history/8582/1717/"
"BEML Ltd","Industrials","258191898.8","286118000","0.39","428321","-57466","-11.83","/mutual-fund/holding-history/8582/176/"
"Kewal Kiran Clothing Ltd","Consumer Cyclical","269849076.75","280873000","0.38","357345","-","-","/mutual-fund/holding-history/8582/749/"
"Navneet Education Ltd","Communication Services","215730630.25","216994000","0.3","2807165","-169419","-5.69","/mutual-fund/holding-history/8582/915/"
"Kirloskar Oil Engines Ltd","Industrials","117284598.4","134438000","0.18","1092544","-","-","/mutual-fund/holding-history/8582/745/"
"WPIL Ltd","Industrials","29776832.8","32236000","0.04","71786","-","-","/mutual-fund/holding-history/8582/2254/"
