"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Ashoka Buildcon Ltd","Industrials","444762051.55","430241786","0.75","6313159","-","-","/mutual-fund/holding-history/8295/113/"
"CARE Ratings Ltd","Financial Services","422302728.6","418824383","0.73","1054044","-","-","/mutual-fund/holding-history/8295/240/"
"Techno Electric & Engineering Co Ltd","Industrials","439394947.2","411151011","0.72","2017424","-","-","/mutual-fund/holding-history/8295/118204/"
"Shankara Building Products Ltd","Consumer Cyclical","355608080.4","364755396","0.64","988899","-","-","/mutual-fund/holding-history/8295/53325/"
"MM Forgings Ltd","Industrials","365173920.45","330828544","0.58","1196703","-","-","/mutual-fund/holding-history/8295/868/"
"Ramkrishna Forgings Ltd","Industrials","368069579","316991912","0.56","1349476","-","-","/mutual-fund/holding-history/8295/1140/"
"Himatsingka Seide Ltd","Consumer Cyclical","319074703.9","314841875","0.55","4031266","-","-","/mutual-fund/holding-history/8295/548/"
"KPIT Technologies Ltd","Technology","372652501.4","314962310","0.55","3733993","3733993","New","/mutual-fund/holding-history/8295/141324/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","232100000","232200000","0.41","1000000","-","-","/mutual-fund/holding-history/8295/262/"
"Sanghi Industries Ltd","Basic Materials","206862646.8","222129263","0.39","7633308","-1000000","-11.58","/mutual-fund/holding-history/8295/1179/"
"HT Media Ltd","Communication Services","160731943.95","175645217","0.31","11046869","-","-","/mutual-fund/holding-history/8295/575/"
"Pennar Industries Ltd Shs Dematerialised","Industrials","145981147.2","146415615","0.26","8689354","-","-","/mutual-fund/holding-history/8295/1020/"
