"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","223784739.15","208584000","0.3","84147","-","-","/mutual-fund/holding-history/6343/92286/"
"RBL Bank Ltd","Financial Services","164950000","195950000","0.28","1000000","1000000","New","/mutual-fund/holding-history/6343/4685/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","201701500","196209000","0.28","845000","-167500","-16.54","/mutual-fund/holding-history/6343/262/"
"Tube Investments of India Ltd Ordinary Shares","Consumer Cyclical","152230225.3","173050000","0.25","267094","267094","New","/mutual-fund/holding-history/6343/67548/"
"Sterling And Wilson Solar Ltd","Technology","166758278.5","178216000","0.25","705109","-","-","/mutual-fund/holding-history/6343/155630/"
"Sanghi Industries Ltd","Basic Materials","142217399.5","162614000","0.23","5588110","-331000","-5.59","/mutual-fund/holding-history/6343/1179/"
"Can Fin Homes Ltd","Financial Services","156699457.2","142148000","0.2","382941","-","-","/mutual-fund/holding-history/6343/234/"
"Natco Pharma Ltd","Healthcare","147538899.7","125076000","0.18","166391","-283609","-63.02","/mutual-fund/holding-history/6343/908/"
"Mangalore Refinery and Petrochemicals Ltd","Energy","81745659","96581000","0.14","3027617","-4472383","-59.63","/mutual-fund/holding-history/6343/885/"
"Magma Fincorp Ltd","Financial Services","90788985","100608000","0.14","2690044","-","-","/mutual-fund/holding-history/6343/813/"
"Aditya Birla Fashion and Retail Ltd Ordinary Shares (Partly Paid Rs.5)","Consumer Cyclical","-","89417000","0.13","1144173","-","-","-"
"Nippon India ETF Consumption","-","70540800","71676000","0.1","1320000","-","-","/mutual-fund/holding-history/6343/1617/"
"Ramkrishna Forgings Ltd","Industrials","29870000","23490000","0.03","100000","-","-","/mutual-fund/holding-history/6343/1140/"
"Nippon India ETF Nifty 100","-","12051000","12050000","0.02","100000","-","-","/mutual-fund/holding-history/6343/1613/"
